Point;System_short;Automation_short
1;Konfigurieren;Auto-Konfiguration
2;Verwalten;Selbst-Verwaltung
3;Anwenden;Auto-Anwendung
4;Bereitstellen;Auto-Bereitstellung
5;Starten;Auto-Starten
6;Regeln;Regel-Automation
7;Bereitstellung;Auto-Deployment
8;Sicherheit;Sicherheits-Automation
9;Beobachten;Auto-Überwachung
10;Reparieren;Selbstheilung
11;Optimieren;Selbstoptimierung
12;Koordinieren;Meta-Koordination
13;Vorhersagen;Predictive Automation
14;Strategie;Strategie-Automation
15;Selbstanalyse;Selbstmodellierung
16;Gesamtsystem;Ökosystem-Autonomie

