Rang-Hierarchie Star Trek;Hierarchie: für Wechsel zwischen Feindschaft oder Allianz oder nur Hierarchie mit offen unbekannt ob Krieg, etc.;Zeitalter Weltordnung;Musik Mono Stereo Surround;entweder Land bzw. Nation (sieben) oder Länderdachorganisation eines Kultur-Raumes wie die europäische Union (achtundzwanzig) oder eine Einundzwanzig;Absicht (13) Motiv (13) vier mal ganze natürliche Zahl n für Pro-Innen-Primzahlen also bei ganze natürliche Zahl mal sechs minus eins, sofern dort Primzahl und dann diese Primzahl mal vier oder mal acht oder mal sechzehn, sodass in dieser Spalte die Multiplikation mit mal vier nicht sichtbar aber gemeint ist. (mal vier ist es der Spieler, die Spielfigur, mal acht ist es das jeweilige Computerspiel und mal sechszehn ist es das gesamte Genre der Computerspiele-Art. );Ketten-Molekül Lebensformen (alles außer Kohlenstoff, aber auch vierte Spalte Periodensystem der Elemente) und Leben (Kohlenstoff basiert) Elemente Atome;W Kontinuum Dreiundzwanzig, Storage Speicher Memory Gedächtnis RAM;AC Kontinuum Neunundzwanzig Ressourcen jeglicher und allgemeiner Art;AD Kontinuum (Dreißig) Reflektion;AE Kontinuum (Einunddreißig);AK Kontinuum (Siebenunddreißig);AU Kontinuum (Siebenundvierzig);Sinne („16 – > 6 - > 10 mit 7 kombiniert“ oder „15 - > 10 mit 7 kombiniert“ (ggf. statt 10 Zehn ist es 10 Zehn mit 7 Sieben und vielleicht auch etwas mit 12 Zwölf kombiniert) heißt: Geist bzw. geistiger Kosmos und darin Warhnehmung);Götter, Propheten, Archonten (Typ 30 Dreißig, wozu auch sonst Genies Djinns Fields-Medaillen Gewinner und Nobelpreisträger zählen also Typ 30 Dreißig und Djinn in der Flasche und auch wenn es das gäbe auch Super Saya Djinn);Ränge Hierarchie in erweiterter Form in Denglisch;Planeten-Korrigierer;Galaxie Übel Beseitiger und Veredeler;demütige Unterwürfige Problemlöser und Schaden hervorrufene Demütigerer zum Beseitigen und lösen von Problemen und Problematischen Figuren Personen Tiere und Wesen und Dinge im Galaxie Cluster inter-galaktisch;EvlilBöses crimeVerbrechen;punishmentsBestrafungen;Datenstrukturen-Grundlage für unter anderem Weltregierungen verschiedener Art, gehört in den Bereich des Q Kontinuums Siebzehn HeptadecagramHeptadegramm Kompression Schwierigkeit Intelligenz Knoten Knäul flixte Fäden als Atom Element Grundlage des Q Kontinuums wie analog Meta-Physik-Teilchen, Kompliziertheit geistige mentale Gehirn Nerven Anstrengung Intelligenz Verwendung von Kopf Gehirn gesamt-Körper Nervensystem wie auch Darm und Herz damit verbunden sind als etwas das vor dem Universum und multidemensionalem Multiversum liegt und im Bereich der Quantenphysik nur vom Dekgramm Zehn J J Kontinuum erfasst wird wobei Physik noch darunter das I Kontinuum neun Nongramm inkludiert besitzt unter dem Dekagramm Zehn J Kontinuum wobei das Thema aber eigentlich die Naturgesetze sind und damit Fünf Pentagramm E Kontinuum und weniger eigentlich aber auch sehr das PentadecagramPentadekagramm Fünzehn O Kontinuum
maybeVielleicht citizenBürger;?;Urzeit, Steinzeit, etc.;?;?;-;-;Wissensbasis;Tiefe;Zünden;feines Detail;Bewältigen;Architektur;?;erste Inkarnation des monotheistischen Gottes;?;planetPlaneten percieverWahrnehmer, planetPlaneten seeerSehender, planetsPlaneten phenomenasPhänomene recognizerBemerker;TheDer galaxyGalaxie willWille orOder  theDas galaxyGalaxie motiveMotiv orOder galaxyGalaxie infrastructureInfrastruktur noblifierVeredelor orOder desiredBegehrter galaxyGalaxie disgustingWiderliches sickÜbles cleanerSäuberer;humbleDemütiger submissiveUnterwürfiger galaxyGalaxie clusterCluster problemsProbleme combinerKombinierer forZum humiliatingDemütigenden damageSchaden vsGegen problemsProbleme whomWen everÜberaupt whatWas everÜberhaupt obedienceGehorsamkeits creationErschaffung interInter galacticGalaktisch galaxyGaxie clusterCluster;powerMacht forceZwang placeOrt positionPosition corruptionKorruption andUnd fightKorruptions corruptionBekämpfung;identityIdentitäts punishemntsBestrafungen femaleWeibliches genderGeschlecht womenFrauen sexGeschlech;?
cadetKadett;?;Nomaden-Zeitalter;?;?;-;-;Härte oder Weiche der Kodierung, z.B. im Prozessor hardwarekodiert oder Softwarequellcode oder Mainboard Platine oder Chip oder die drei Ebenen des JIT Compiliers Erstens Code Bytecode Maschinencode als Drittes, oder zwei des Interpreters wie Bash Batch Python Javascript;Abstraktion;wie pingpong;Muster;Herausfordern;Konstruktion;?;zweite Reinkarnation des monotheistischen Gottes;?;PlanetPlaneten-correctorKorrigierer orOder planetPlaneten determinatorBestimmer;galaxyGalaxie abilifierBefähiger orOder galaxyGalaxie possibilifierMöglichkeiterer;ClusterorClusteror ofDer maleMännlichen  roughnessRaue ofDer heavily-builtednessGrobschlächtigkeit;?;hinderVerhindert capableFähig  vsGegen maleMännliche menMänner asAls punishmentBestrafung;Ecke Kante wird zu Punkt durch die Fusion Kombination Koinzidenz der Art Komplexität aller Arten Typen Varianten die nicht vorgegeben sind und alle sein dürfen sollen
?;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel;?;?;-;-;Frameworks Units, z.B. des Kodierens;Stufen;heiß;Suchen wie Jäger und Sammler, hier Sammler, hier jagen);Abtenteuer;Gebäude;?;dritte Reinkarnation des monotheistischen Gottes;?;planetPlaneten inventoriorerInventurer orOder planetsPlaneten stocktakerBestandshalter orOder planetsPlaneten equipmentorerInventaror;galaxyGalaxie userBenutzer orOder galaxyGalaxie controlerSteuerer orOder galaxyGalaxie remoteEntfernt controlerSteuerer orOder galaxyGalaxie socketSocken puppetPuppen playerSpieler orOder galaxyGalaxie remoteEntfernte marionettsMarionetten professionalistProfessioneller expertExperte;OperationalOperationale precedencePräzendenz clusterorClusteror forZum combiniedKombinierten fusionFusions treeBaum abstractAbstrakt syntaxSyntax treeBaum conditionsBedingung statusStatus meaningfulBedeutende causeUrsache interInter galacterorGalakteror;?;foodNahrung nutrionErnährungs restrictionsBeschränkungen femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht sexualSexuelle lustLust pleasureVergnügens punishmentsBestrafungen  femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
crewmenBesatzungsmitglied;?;imperiales Zeitalter: z.B. römisches Imperium, Persien, griechisch antikes Imperium, chinesisches Reich, Byzanz;?;?;-;-;Enkodieren, Dekodieren, Betätigen an der Wissensbasis;Seil Lift Fahrstuhl;brennen;Erweiterte Details jagen (wie Jänger und Sammler, hier jagen);Entdecken;Bauen;?;Propheten und Polytheistischer Gott und Götter und ggf. monotheistischer;Elite Crewmen operations Crystal syntax time change;planetPlaneten changorÄnderer orOder planetPlaneten elitorerElitetor orOder planetPlaneten planerPlaner orOder planetPlaneten schudulorerZeitplaner;galaxyGalaxie doerTäter makerMacher orOder galaxyGalaxie deedsTaten administratorVerwalter orOder galaxyGalaxie deedsTaten maintainerAufrechterhalter orOder galaxyGalaxie deedsTaten managerHandhaber;ClusterorClusteror optimismorOpimismusser orOder clusterorClusteror counterpessimistGegenpessimist;?;moreMehr imprisonEinsperren lockedVerschlossen  vsGegen maleMännliche menMänner asAls punishmentBestrafung;Linie bzw. eigentlich genauer die Linearität als solches selbst wird bis zu einem Punkt komprimiert mit einem nicht vorgegebenen Verfahren, das eigentlich alles andere als Schwierig sein dürfte
?;?;?;?;?;Tetris, Zentris, und vergleichbares;Zentralität: Satan und Teufel als diplomatische Botschafter von nicht nur Tieren;Debugging, Fehler zu entkäfern;sinken verkleinern minimieren;reagieren;finden (wie Jäger und Sammler, hier Sammler);Transformieren, wandeln;Architekt;vielleicht Schmecken ohne Riechen;Vierte Reinkarnation des monotheistischen Gottes;?;planetPlaneten causalKausal chainKetten acknoligerBemerker, reasonorSchlussfolgerer orOder planetPlaneten concluderSchlussfolgerer, planetPlaneten centralizatorZentralisator, planetPlaneten crocodileKrokodil;GalaxyGalaxie frightenorBeängstiger orOder galaxyGalaxie satisfierGenugtuer orOder galaxyGalaxie crocodileKrokodil orOder galaxyGalaxie centralizatorZentralisator;?;bugFehlerkäfer crimeVerbrechen andUnd errorBugFehlerkäfer fightVerbrechens crimeBekämpfung;centralityZentralitäts removalEntfernungs addingsHinzufügungs punishmentsBestrafungen femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
Non-commissioned-officerUnteroffizier;?;Merkantilismus Kapitalismus Marktwirtschaft, Anfänge;?;?;-;Kohlenstoff: z.B. Pflanzen, Tiere, Menschen, Pilze, Bakterien, eigentlich kein Leben, aber Viren kohlenstoffbasiert;Fehler behandeln;erweitern vermehren suchen finden;anstecken;Sammeln (wie Jäger und Sammler, hier Sammler);Wachstum;Struktur;?;fünfte Reinkarnation des monotheistischen Gottes;upper class Unteroffizier tactics words declarations intensity value worth;planetPlaneten DJdj diskDisk jockeyJockey planetPlaneten rubberGummi bandBand elasticGummi strapBand plasticPlaste elasticElaste responsibleVerantwortliche;galaxyGalaxie egoistEgoist orOder galaxyGalaxie egomaniastEgomanier orOder galaxyGalaxie honeybadgerHonigdachs orOder galaxyGalaxie takerNehmer orOder galaxyGalaxie advantagorBevorteiler orOder galaxyGalaxie benefitterVorteilsnehmer;?;?;downgradeAbwerten shringSenken egomaniaEgomanie orOder generalAllgemeine violenceGewalt vsGegen maleMännliche menMänner asAls punishmentBestrafung;Kette Stapel Stack Heap führt z.B. wie beim Turm von Hanoi oder etc. anderem irgendwas zu letztlich kausal zu einem Ganzen Etwas als Kiste Kapsel Atom Element
?;?;ab erstem Messias Jesus Christus: aber intelligenter Selbstmord über Judas woran Silikoiden schuld sind, die ihre Hölle behalten wollen. Eigentlich Unsterblicher begeht Selbstmord: Spezies hat großes Pech. Kohlenstoff braucht Germanium.;?;Land bzw. Nation, z.B. Imperium oder Föderation;-;Himmel und Hölle, gutmütig gutherzig gegenüber böse evil Schrecklich: in der Hölle geht es den nicht so sehr bösartigen besser, und im Himmel mehr bösartigen weniger gut: Nach Himmel und Hölle gibt es noch mal woanders Himmel und Hölle, also es wird neu sortiert, weswegen beides Mist ist: Himmel und Hölle obwohl eins gut underes schrecklich: beides ist sehr nachteilhaft.;?;navigieren browsen schiffen;Erschaffen;Verteilen;Reflektieren;Aufgabe;?;sechste Reinkarnation des monotheistischen Gottes;?;planetPlaneten navigatorNavigator planetPlaneten captainKapitän planetPlanete surferSurfer planetPlaneten browserSchmökerer;?;?;?;moreMehr painSchmerz  femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
commanderKommandant, asWie forZum exampleBeispiel  CaptainKapitän;?;militärisch Raum-konservatives Zeitalter der Gerechtigkeit durch Gewalt und göttliches Recht, ab Mohammed Islam Moslems, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-;?;fällen folgern abholzen;Vernichten;?;Planen;?;?;Prophet;Territorialisti Commander Strategiststs Language cosmos library room space x y z dimensions tensors;planetPlaneten densityDichte locatorLokator planetPlaneten spotPunkt locatorPositionsgeber planetPlaneten locusLokus;?;?;?;?;ohne Reihenfolge bzw. genauer ohne vorgegebene bzw. feste oder festgelegte Reihenfolge Ordnung die Kompresson des Raumes von Außen nach Innen bis zu einem Punkt der eine Koordinate ist oder dann nur noch ein Punkt bleibt als Kompressionsmethodik für was Raum oder das Koordinatensystem oder der Tensor ist
?;Zerg von Antares;Weltordnung oder Zeitalter Vereinte Nationen, Einheit, Reproduktion, Fortpflanzung, Lust, Städte, Metropolen, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-;?;nageln und auf den Punkt bringen und darauf pochen;?;?;Ziele;?;?;Prophet;?;planetPlaneten potentatorPentenziator planetPlaneten variablorVariebeler planetPlaneten unitorUnitator;?;?;?;moreMehr sufferingLeiden femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht, sexualSexuelle lustLust pleasureVergnügens punishmentsBestrafungen  femaleWeibliches genderGeschlecht womenFrauen sexGeschlecht;?
admiralAdmiral, correspondsEntspricht certainlySicherlich generalGeneral, ifWenn ItEs isGeht aboutUm groundBoden troopsTruppen instead-ofStatt shipsSchiffe;Menschen Leute Menschheit;Weltordnung oder Zeitalter vollständiger gesamter totaler kompletter Planet, mathematisch, Prädikatenlogik, Strukturwissenschaften wo nur eine davon Mathematik ist, vielleicht auch mathematische Physik, Computer, Rechner, Machiavellisten, Globalisten;?;?;-;-;?;?;?;?;Lernen;?;Sehen visuell;Siebente Reinkarnation des monotheistischen Gottes;Globalists Admiral General math Game Theorists constraints meaning effective truth logics;planetPlaneten effectorEffektor effectEffekt causerBewirker andUnd crocodileKrokodil determinorBestimmer ofVom planetPlaneten;?;?;?;correctionKorrierungs bettermentsVerbesserungs punishmentsBestrafungen learningLernen studyingStudieren punishemntsBestrafungen educationBildungs seeingSehen punishmentsBestrafungen vsGegen maleMännliche menMänner asAls punishmentBestrafung;Vergleichsbaum aus vielen Elementen Variablen Einheiten führt zu Wahrheitswert wahr oder falsch per mathematischem Logik-Prädikat
