DimensionsDimensionen ofDes multiverseMultiversums sixteenSechszehn hexadecadegramHexadekadegramm P P continuumKontinuum;
LanguageSprache ofVom universeUniversum andUnd alsoAuch fromVom cosmosKosmos notNicht universeUniversum bothBeides likeWie threeDrei C C triangleDreieck isIst noNein asAls signalSignal redRot andUnd signalSignal greenGruen meansBedeutet yesJa andUnd isIst additiveAddtiv mixedVermischte addedAddiert oneEins A A dotPunkt withMit B B twoZwei lineLinie bothBeide combinatedKombiert notNicht substractedSubtrahiert butAber addedAddiert meansBedeutet yesJa belongsGehoert toZu nineteenNeunzehn languageSprache ofVom universeUniversum andUnd cosmosKosmos;eighteenAchtzehn
MessageNachricht  likeWie LetterBrief likeWie emailEmail likeWie transmissionUebermittlung;nineteenNeunzehn
?;-
?;-
?;-
?;-
?;-
?;-
?;-
?;-
?;-
?;-
SciencesWissenschaften interactingInteragierende causalitiesKausalitaeten intersectingDurchkreuzend isIst energyEnergie scienceWissenschaft likeWie physicalKoerperliche mentalGeistige physicsPhysik spiritualSpirtuelle energyEnergie anyIrgendwelche whatsoverWelche energyEnergie asAls allAlle togherZusammen appliedAngewandte mathematicsMathematik structureStruktur sciencesWissenschaften asWie likeWie organizationsOrganisationen ofDer economyWirtschafts mathematicsMathematik orOder physicsPhysik asAls mathematicsMathematik namedBenannt designationBezeichnung physicsPhysik orOder chemicalChemisch appliedAngewandte mathematicsMathematik areSind;thirtyDreissig
