Zaehlmaschine aufzaehlen abzaehlen stempeln beruhend auf dem Automaten der Automaten-Theorie war sehr relevant bedeutsam fuer die Industrielle Revolution und der Arbeitnehmer der Industriellen Unternehmer Oberschichtler;Stapel Stack, wahrscheinlich erstmalig so richtig, was auch immer das dann sei und war und wurde;sechs;zwanzig;T;20;F;Unilaterale Formulierer Formeln Klassizisten Klassiker Klassifizierer unilateral formale Methoden Clustering Einteilen Gesellschaftsklassen Gesellschaftsschichten statt nur Hierarchie
Navigations-Geraetschaften fuer z.B. Schiffe etc;;sieben;einundzwanzig;U;21;G;Unilaterale Meister des Faches Experten Professionelle leidenschaftlich
Abakus Rechenmaschine ist eine einfache Turingmaschine und Erweiterung des Automaten der Automatentheorie ist die Turingmaschine;Erstmalig Rechenmaschine;acht;zweiundzwanzig;V;22;H;Unilaterale Forscher Wissenschaftler Universitaeten Professoren unilateral
Kryptologiemaschine ist eine erweiterte Rechenmaschine mit der Zusatzidee von Variablen Quantoren usw. statt nur Rechnen als neuere Maschine;Vorprogrammierte Maschine und erstmalig Transzendenz als Technologie moeglich bekannt vom Borg Kollektiv oder von den Zerg Aliens Schwarm Koenigen Gehirninternet Geist Technologie neunte Dimension des Multiversums;neun;dreiundzwanzig;W;23;I;Geheim Organisation unilateral
Computer eine programmierbare Rechenmaschine und eine Turingmaschine innerhalb einer Turingmaschine;Erstmalig richtige Mathematikmaschine mit programmierbaren Rechnern die vorher nicht beliebig programmierbar waren;zehn;vierundzwanzig;X;24;J;Unilaterales Netzwerk wie Internet Telefonnetz
Robotik Androiden neue Formen der Automatisierung;Neue Technologie-Art des Deltas des Verhaltes der Verschränkung auch ohne Quanten Quatum Q Kontinuum, sondern nur aussschliesslich K elf Kontinuum ohne Q moeglich nur Deltaverschränkung mit einem einzigen Bindfaden ein Spinnennetz weben als Netzwerk und wäre es noch die alte Technlogie auf Strukturwissenschaft wie der Mathematik beruhend, dann entspräche dies hier der Systemtheorie, welche die Mathematik bei jedem kleinen bisschen und bisschen Syntax jegliches irgendetwas mit Delta anreichend von bis wie zu Wegen vergleichbar sind Deltas aber ohne Eigenschaft ohne Ordnung und ohne Kristalinizitat. Elfte Dimension des Multiversums Deltaverhalten Verschraekung auch ohne Quanten Q Kontinuum, sondern nur K Kontinuum elfte Dimension.;elf;fünfundzwanzig;Y;25;K;Unilaterales Volk oder Buerger oder Bevoelkerung oder Personal eines Unternehmens oder Schueler Schule oder Studenten Universitaet
Kybernetik und Cyborgs und Cyberspace Zwölf statt Zehn Internet Webseiten;;zwoelf;sechsundzwanzig;Z;26;L;Bilaterale Kooperation mit Eisen
Autonome Maschinen, welche selbstständig handeln, statt nur automatisiert zu arbeiten;;dreizehn;siebenundzwanzig;AA;27;M;Genussraum Urlaub Vergnuegen trilateral
Schwarm Maschinen mehr als nur Kollektive, wie Vögel oder Bienenschwärme;;vierzehn;achtundzwanzig;AB;28;N;Sternenflotte oder eine ein Kulturraum Dachorganisation multilateral oder vier lateral
Statt nur kuenstliche Intelligenz echtes künstliches Leben auch so wie Computerviren oder Computerwürmer, aber dieses mal echtes Leben und nicht nur winzig wie ein Virus Trojaner oder Wurm im Device, lebendig;;fuenfzehn;neunundzwanzig;AC;29;O;Denkfabrik multilateral moeglicherweise fuenf lateral
