NetworkingNetzwerken X X  twentyfourVierundzwanzig tessaraicosigramTessaraikosigramm topologiesTopologien AB AB twentyeightAchtundzwanzig oktaicosigramOktaikosigramm;;
dotPunkt networkingNetzwerken;A;
cableKabel networkingNetzwerken;B;
hookVerhakungs networkingNetzwerken;C;
TwoZwei cableKabel twoZwei halfHalb duplexDuplex toZu fullVoll duplexDuplex masterMeister slaveSklave networkingNetzwerken overUeber underDarunter;D;
StarStern topologyTopologie networkingNetzwerken;E;
SnakeSchlange chainsKetten afterNach eachEin otherAnder stepSchritt wiseWeise iteratingIterierendes incrementingInkrementierendes networkingNetzwerken;F;
CyclicZirkulaeres cicleKreis networkingNetzwerken;G;
CristalKristall orthogonalRechtwinkliges likeWie stoneStein dimensionsDimensionen axesAchsen tensorTensor networkingNetzwerken;H;
UsualGewoehnliches normalNormales averageDurchschnittliches generalAllgemeines networkNetzwerk organizationOrganisations networkingNetzwerk topologyTopologie itselfSelbst;I;
MeshVermaschtes networkingNetzerken regardingBezogen routersRouter wifiWlan severalMehrere centricZentrale pointsPunkte asAls topologyTopogie multipleMehrere starStern topologiesTopologien;J;
OneEin ropeSeil threadFaden oneEiner spiderSpinnen webSpinnennetz networkingNetzwerken;K;
BoneKnochen networkingNetzwerken bigGrosse partsTeile connectedVerbunden severalVerschiedene hierarchyHierarchie positionsPositionen coordinatesKoordinaten mapKarte networkingNetzerken;L;
FleshFleisch meatFleisch tendonSehnen structuresStrukturen networkingNetzwerken bodyKoerper topologyTopologie;M;
AbstractAbstrakter syntaxSyntax treeBaum forFuer formulasFormeln networkingNetzwerken fusionFusions treeBaum networkingNetzwerken forZum exampleBeispiel forFuer synchronizationSynchronisation threadsFaeden proecessesProesse asWie parallizationParallisierung orOder networkingNetzwerken orOder computerRechner ressourcesRessourcen orOder dataDaten managementHandhabung orOder operatingBetriebs systemSystem kernelKern schedulingZeitplanung threadsFaeden processesProzesse;N;
MathematicalMathematische universalUniverselle objectsObjekte networkingNetzwerken andUnd laterSpaeter mathematicalMathematische universalUniverselle propertiesEigenschaften networkingNetzwerken;O;
DimensionalDimensionales multiverseMultiversum mathematicalMathematische functionFunktion andUnd evoltutionaryEvolutionaere algorithmsAlgorithmen networkingNetzwerken;P;
ComplexityKomplexitaets difficultySchwierigkeits abstractionAbstraktion cristalsKristalle encodingKodiertes networkingNetzwerken asAls topologyTopologie itselfSelbst;Q;
SemanticSemantische ontologyOntologie andUnd relationalRelationale tableTabellen structureStruktur networkingNetzwerken;R;
OptimizationOptimierungs spaceRaum networkingNetzwerken expressionExpression extractionExtraktions messagesNachrichten transmissionsUebermittlungs networkNetzwerk topologyTopologie;S;
CristalKristall orthogonalRechtwinkliges likeWie stoneStein MeshVermaschtes networkingNetzerken regardingBezogen routersRouter wifiWlan butAber insideInnerhalb cristalKristall tensorTensor structureStruktur dimensionsDimensionen axesAchsen;T;
SphereKugel puzzlePuzzel partsTeile detectiveDetektiv combinationsKombinations sphereKugel instanciationInstanzierungs recreationNeuschaffungs networkingNetzwerken asAls topologyTopologie notNicht onlyNur threeDrei dimensionsDimensionen possibleMoeglich;U;
SimulationSimulations networkNetzwerk topologyTopologie asWie VPNvpn orOder proxyStellvertreter alikeWie virtualizationVirtualisierung emulationEmulation heritageErbe treeBaum networkingNetzwerken knownBekannt fromVon objectObjekt orientatedOrientierte softwareProgramme developmentEntwicklung codingProgramming computerRechner scienceWissenschaft;V;
AspectsAspekte (developmentEntwicklungs programmingProgrammierungs paradigmParadigma) storageSpeicherungs networkingNetzwerken cuttingZwischenschneidende concernsBedenken;W;
NetworksNetzwerke intersectingZwischenschneidendes networkingNetzwerken aboutUeber networkingNetzwerken ofVon networksNetzwerken alikeWie neuronalNeuronales networkNetzwerk isoIso osiOsi refrenceReferenz modelModel orientatedOrientierte networkNetzwerk topologyTopologie;X;
DataDaten streamStrom waterWasser fallingFall networkingNetzwerken messagesNachrichten flowingFliessen;Y;
