Hierarchie noch mal;Zuordnung Bedeutung Stadium Spezies Entwicklungsstand;;;
AntaresAntares starSternen systemSystem anteranersAnteraner areSind BothBeide mixedGemischt speciesSpezies alikeWie humanoidHumanoide mankindMenschheit andUnd withMit AsgardAsgard graysGraue psilonsPsilons antikerAntiker combinedKombiniert fusionedFusioniert sixteenSechszehn hexadegramHexadegramm hexadecadegramHexadekadegramm P P thirtyoneEinunddreissig AE AE henatriacontagramHenatriakontagramm;Weltraum Multidimensions Arbeiter ausreichend Genueger genug sein wollende Vorherrschaftler über (fast) alle, Gewerkschaftler, Okay genug sein wollende multidimensional nicht nur Raumzeit Oberexperten Professionelle, auch andere weniger optimal machende andere Kohlenstoff Kettenmolekül Lebewesen;16;FirstErste;31
OrionOrion starSternen systemSystem orionsOrionen alikeWie humansMenschen humanoidHumaoide butAber hugeRiesige bigGrosses brainGehirn visibleSichtbar andUnd blackSchwarze skinHaut colorFarbe asWie africansAfrikaner pentadegramPentadegramm pentedecadegramPentedekadegramm fifeteenFuenfzehn O O thirtyDreissig AD AD triakontagramTriacontagramm;Weltraum Spezies Daseins und Gesundheits und Ueberlegenheits Behaupter Beweiser Erhabenheits Nachweisende;15;SecondZweite;30
AsgardAsgard graysGraue greyGreys psilonsPsilons antikerAntiker psiPsi - lonsLons withMit psiPsi forcesKraeften tetraidegramTetraidegramm tetraidecadegramTetraidekadegramm fourteenVierzehn N N twentynineNeunundzwanzig AC AC enneaicosigramEnneaicosigramm orOder nonaicosigramNonaikosigramm;Weltraum Ingenieure Weltraum Erbauer Konstrukteure Weltraum Problemloeser Demuetige Demuetiger Gehorsame Gehorsam machende lieb seiende nett seiende sanfte limitierer Begrenzer des Guten und Selbstlosen durch den Verzicht auf das Ich gegen das Selbstlose;14;ThirdDrittens;29
reptoloidsReptoloide sakkraSakkra asWie crocodileKrokodil dragonDrache dinosaurDinosaurier snakeSchlange salamanderSalamander starSternen groupGruppe drakonDrakon drakonisDrakonis tristaidegramTristaidegramm tristaidecadegramTristaidekadegramm thirteenDreizehn M M twentyeightAchtundzwanzig AB AB oktaicosigramOktaikosigramm;Weltraum Medizin Aerzte Hilfe Helfer Doktoren Feuerwehrmaenner Lehrer Krankenschwestern Pfleger Behandler Betraeuer Psychologen;13;fourthVierte;28
blueBlaue plejadesPlejaden alikeWie similarAehnlich humansMenschen humanoidMenschlich alikeAehnlich dodecadegramDodekadegramm twelveZwoelf L L twentysevenSiebenundzwanzig AA AA heptaicosigramHeptaikosigramm;Weltraum Polizisten, Wächter Aufpasser Ordnungsamt des geistig seelisch psychischen Gehirn Kosmos des Nervensystems des Körpers von Lebewesen;12;fifethFuenfte;27
protosProtos predatorsPraedatoren predatorsRaubkrieger hendegramHendegramm elevenElf K K twentysixSechsundzwanzig Z Z hexicosigramHexikosigramm;Weltraum Aktions Action Cowboys Abenteuer Adventure Erlebnis, Stufe was nach Zivilisation kommt und kommen wird;11;sixthSechste;26
humanoidHumanoide humansMenschen peopleVolk HumanoidsHumanoide asWie centauriZentraurus vulcansVulkanier ferengiFerengi romulaniansRomulanier clingonsKlingonen decagramDekagramm tenZehn J J twentyfifeFuenfundzwanzig Y Y penteicosigramPenteikosigramm;Zivilisatorisch, mehrere Zivilisationen, Unterscheidung Mensch von Tier, sich selbst als sein Ich mit seiner Bedeutung beutsam wichtig nehmender Humanoide;10;seventhSiebte;25
fromVon antaresAntares fromVon charZeichen zergsZerg aliensFremde nonagramNonagramm nineNeun I I twentyfourVierundzwanzig X X tessaraicosigramTessaraikosigramm;Organisch, Biologie, Organisation, Organe, Tiere wie Tiger Loewe Fuchs Wolf Baer;9;eigthAchte;24
insectiodsInsektoide collectivesKollektive aliensFremde klackonsKlackonen asWie antsAmeisen beesBienen terristrialIrdisch orOder extraterristrialAusserirdisch octagramOktagramm eightAcht H H twentythreeDreiundzwanzig W W triaicosigramTriaikosigramm;Kultur;8;ninethNeuntens;23
petsHaustiere inIm generalAllgemeinen asWie dogsHunde orOder homeHaus catsKatzen petsHaustiere heptagramHeptagramm sevenSieben G G septagramSeptagramm twentytwoZweiundzwanzig V V soSo thatDass orthogonalRechtwinklig isIst ninetyNeunzig degreeGrad toZo petsHaustieren isIst reciprocalReziproke isIst oneEins dotPunkt A A devidedGeteilt byDurch heptagramHeptagramm sevenSieben G G isIst corresponsEntspricht animalTier sheepSchaf heptagonHeptagon innocentUnschuldig wantMoechte toZu beWerden likedGemocht sheepsSchafe insteadAnstelle ofVon selflessSelbstloser leaderAnfuehrer isIst sheepsSchafe heptagonHeptagon reciprocalReziproke ofVom heptagramHeptagramm twentytwoZweiundzwanzig V V dyoicosigramDyoikosigramm;Eine Zivilisation ein Land eine Region;7;tenthZehntens;22
exploitingAusbeutende parasitesParasiten sixSechs hexagramHexagramm F F asWie TapewormBandwuermer RoundwormSpulwurm (Taenia)  roundwormsSpulwuermer (Ascaris) blood-flukeEgel (Schistosoma) Itch-miteKraetzemilbe scabies-miteKraetzmilbe (Sarcoptes) liceLaeuse (Pediculus humanus) feasFloehe Pulex irritans (humanMenschen feaFloh), Ctenocephalides felis (catKatzen fleafloh) hexagramHexagramm F F sixSechs stwentyoneEindundzwanzig U U henaicosigramHenaikosigramm;Entwicklung weiter breiter höher mehr Weiterentwicklung;6;eleventhElftes;21
oneEin cellularZeller lifeLeben lifeLebe creatureWesen pentagramPentagramm E E fifeFuenf twentyZwanzig T T icosigramIkosigramm;Natur, Biologie;5;twelvethZwoelftes;20
bacteriaBakterien squareQuadrat fourVier D D nineteenNeunzehn S S nonadegramNonadegramm nonadecadegramNonadekadegramm;Fortschritt vorwärts linear;4;thirteenthDreizehntens;19
archeonArchaeon ArchaeaArchaeen (notNicht bacteriaBakterien) triangleDreieck threeDrei C C eighteenAchtzehn R R octadecadegramOktadekadegramm octadegramOktadegramm;Leben, Biologie;3;fourteenthVierzehntes;18
virussesViren (actuallyEigentlich lifeLeben isIst questionableHinterfragbar) seventeenSiebzehn Q Q heptadecadegramHeptadekadegramm heptadegramHeptadegram septadegramSeptedekadegramm;Siedlung, Ansiedlung, Kolonie, Dorf;2;fifeteenthFuenfzehnte;17
prionsPrionen isIst notNicht reallyWirklich lifeLeben dotPunkt A A oneEins sixteenSechszehn P P hexadecadegramHexadekadegramm hexadegramHexadegramm;Spross, Keimling;1;sixteenthSechszehnte;16
