37;mysticsMystik cultsKult;BetazoidsBetazoiden;AK
37;realReale legitEchte;BetazoidsBetazoiden;AK
36;exotericsExoterik Religion;BetazoidsBetazoiden;AJ
35;esotericsEsoterik;BetazoidsBetazoiden;AI
33;mysticsMystik cultsKult;archonsArchonten;AG
33;realReale legitEchte;archonsArchonten;AG
32;exotericsExoterik orOder Religion;archonsArchonten;AF
32;esotericsEsoterik;archonsArchonten;AF
31;realReale legitEchte;elEl auriansAurianer elariansElarianer;AE
31;mysticsMystik cultsKult;elEl auriansAurianer elariansElarianer;AE
30;exotericsExoterik orOder Religion;elEl auriansAurianer elariansElarianer;AD
30;realReale legitEchte;godsGötter;AD
30;mysticsMystik cultsKult;godsGötter;AD
29;esotericsEsoterik;elEl auriansAurianer elariansElarianer;AC
29;exotericsExoterik Religion;godsGötter;AC
28;esotericsEsoterik;godsGötter;AB
29;realReale legitEchte;deepNach thinkerDenker;AC
29;mysticsMystik cultsKult;deepNach thinkerDenker;AC
28;exotericsExoterik orOder Religion;deepNach thinkerDenker;AB
27;esotericsEsoterik;deepNach thinkerDenker;AA
