perceptionWahrnehmung 10J socialSoziale classesSchichten 20T sensesSinne 10J;;
optimumOptimal coldKalt heartedHerzigkeit awarenessBewusstheit sensingAbfühlen;10;J;
graceAnmut hiddenVersteckte thoughtsGedanken staringGaffen;9;I;
killerTöter instinctInstinkt destructiveZerstörerischer modeModus;8;H;
niceNett politeHöflich mannersUmgangsformen decisiveEntscheidungsfreudig;7;G;
bodyKörper massMasse importanceWichtigkeit aboveDarüber prideStolz sublimeErhaben;6;F;
impulsiveImpulsiv scaryBeängstigend harshUnglimpflich garishGrell;5;E;
strictStreng hardshipsHärten workArbeits ethicsEthik drillDrill careerKarriere;4;D;
roughRoh roughGrobschlächtig ignoranceIgnoranz takeNimms orOder leaveGeh;3;C;
workerArbeiter moodStimmung maleMännlich hurtingVerletzend mercylessGnadenlos;2;B;
silentLeise calmRuhig romanceRomantik noKeine reactionReaktion;1;A;
