Rang-Hierarchie Star Trek;Hierarchie: für Wechsel zwischen Feindschaft oder Allianz oder nur Hierarchie mit offen unbekannt ob Krieg, etc.;Zeitalter Weltordnung;Musik Mono Stereo Surround;entweder Land bzw. Nation (sieben) oder Länderdachorganisation eines Kultur-Raumes wie die europäische Union (achtundzwanzig) oder eine Einundzwanzig;Absicht (13) Motiv (13) vier mal ganze natürliche Zahl n für Pro-Innen-Primzahlen also bei ganze natürliche Zahl mal sechs minus eins, sofern dort Primzahl und dann diese Primzahl mal vier oder mal acht oder mal sechzehn, sodass in dieser Spalte die Multiplikation mit mal vier nicht sichtbar aber gemeint ist. (mal vier ist es der Spieler, die Spielfigur, mal acht ist es das jeweilige Computerspiel und mal sechszehn ist es das gesamte Genre der Computerspiele-Art. );Ketten-Molekül Lebensformen (alles außer Kohlenstoff, aber auch vierte Spalte Periodensystem der Elemente) und Leben (Kohlenstoff basiert) Elemente Atome
;?;Urzeit, Steinzeit, etc.;?;?;-;-
cadetKadett;?;Nomaden-Zeitalter;?;?;-;-
;?;föderales Zeitalter, z.B. zwölf Stämme Israels oder germanische Stämme, Ackerbau, Landwirtschaft, Siedlungen, Zivilisations-Beginn siehe Schriften Moses altes Testament Bibel;?;?;-;-
crewmenBesatzungsmitglied;?;imperiales Zeitalter: z.B. römisches Imperium, Persien, griechisch antikes Imperium, chinesisches Reich, Byzanz;?;?;-;-
;?;?;?;?;Tetris, Zentris, und vergleichbares;Zentralität: Satan und Teufel als diplomatische Botschafter von nicht nur Tieren
Non-commissioned-officerUnteroffizier;?;Merkantilismus Kapitalismus Marktwirtschaft, Anfänge;?;?;-;Kohlenstoff: z.B. Pflanzen, Tiere, Menschen, Pilze, Bakterien, eigentlich kein Leben, aber Viren kohlenstoffbasiert
;?;ab erstem Messias Jesus Christus: aber intelligenter Selbstmord über Judas woran Silikoiden schuld sind, die ihre Hölle behalten wollen. Eigentlich Unsterblicher begeht Selbstmord: Spezies hat großes Pech. Kohlenstoff braucht Germanium.;?;Land bzw. Nation, z.B. Imperium oder Föderation;-;Himmel und Hölle, gutmütig gutherzig gegenüber böse evil Schrecklich: in der Hölle geht es den nicht so sehr bösartigen besser, und im Himmel mehr bösartigen weniger gut: Nach Himmel und Hölle gibt es noch mal woanders Himmel und Hölle, also es wird neu sortiert, weswegen beides Mist ist: Himmel und Hölle obwohl eins gut underes schrecklich: beides ist sehr nachteilhaft.
commanderKommandant, asWie forZum exampleBeispiel  CaptainKapitän;?;militärisch Raum-konservatives Zeitalter der Gerechtigkeit durch Gewalt und göttliches Recht, ab Mohammed Islam Moslems, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-
;Zerg von Antares;Weltordnung oder Zeitalter Vereinte Nationen, Einheit, Reproduktion, Fortpflanzung, Lust, Städte, Metropolen, Weltordnung oder Zeitalter der evolutionären Verschlechterung genauer gesagt geschrieben entgegen optimal als Spezialverschlechterung;?;?;-;-
admiralAdmiral, correspondsEntspricht certainlySicherlich generalGeneral, ifWenn ItEs isGeht aboutUm groundBoden troopsTruppen instead-ofStatt shipsSchiffe;Menschen Leute Menschheit;Weltordnung oder Zeitalter vollständiger gesamter totaler kompletter Planet, mathematisch, Prädikatenlogik, Strukturwissenschaften wo nur eine davon Mathematik ist, vielleicht auch mathematische Physik, Computer, Rechner, Machiavellisten, Globalisten;?;?;-;-
