Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien;Lebewesen (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Beruf (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Kreativität und Intelligenz und andere Geisteskräfte (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Liebe (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);"Transzendentalien und Strukturalien ähnliche Sachen (Vorzeichen: das bedeuten Gegentranszendentalien), paradigmen-übergreifend (14) und meta-paradigmen-übergreifend (15) (Bei einigem müssen noch die Paradigmen und Metapardigmen „herausgerechnet“ werden, aus denen der Mensch besteht; nicht aus den mathematischen Strukturalien) (Es können auch unguter Weise auch Kombinationen von Paradigmen mit Meta-Paradigmen sein.) ";Primzahlkreuz von Leibnitz (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Männer / Frauen (IMHO) (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);evolutionär erwerben  (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Religionen (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Motive (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);analytische Ontologie (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Emotionen (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Berühmtheiten und Personen (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Mechanismen  (12) beim Züchten (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien);Gegen-Transzendentalien bzw. Gegen-Strukturalien (Vorzeichen: das bedeutet nicht Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber, sondern Gegentranszendentalien), paradigmen-übergreifend (14) und meta-paradigmen-übergreifend (15);kombinierte Wirtschaftssysteme;Maschinen, Geräte;Geist (15);Bewusstsein
2|1/3|2/3|3/2|6|1/10|13|14|1/16|16|1/26;Menschen (sehen überall spezielles Konkretes. Wir sind äußerst stark fokussiert und wir können viele Fähigkeiten erlernen. [2] Wir können alle Definitionen erlernen und alles mögliche definieren und sehen vieles als einzelnes Objekt. [1/10], Wir Menschen schaffen bessere Bedingungen [1/3]. Wir können erlernen, was notwendig [1/3] ist, um uns anzupassen, um zu leben [z.B. Haus haben oder Höhle], und wir Menschen lassen uns eine Rolle [1/16] überstülpen [z.B. Müller oder Schmied sein], dir wir durch andere für uns annehmen. Wir können eine Rolle erlernen. (hier nicht Plural, da Rolle ein Universumwort ist). Menschen  können wahrscheinlich besser kombinieren als jedes Tier. Wir können jegliches alles in irgend einer Form kombinieren und unsere Sprache besteht aus allerlei Kombinationen. Menschen achten mehr als wahrscheinlich alle anderen Tiere auf Form (2/3) und Inhalt (3/2), beides. Menschen haben eine Zahlenfetisch (6) und in der Wissenschaft ist überall die Zahl (6) als solche selbst sehr stark vertreten. Menschen verwenden Sprache (1/26).;;;;;;;;;;;;;;;;;;
1/2|7|10|1/10;;;Lyrik, Epik, Dramatik (ausführliche Art und Weise [1 / 2], Schönheit [7 mit 10], Definitionen als Kodierung in Lyrik [1/10]);;;;;;;;;;;;;;;;
5|9;;;;;das Allgemeine (größtenteils sicher);;;;;;;;;;;;;Spontanität: Motivation aus Impuls (5) und Lust (9), aber nicht aus Trieb (6) und nicht aus Gefühl (7);
10|7;;;;;Schönheit (100% sicher), mathematische Induktionsverfahren (sicher, obwohl dafür vielleicht noch u.a. die Kombination [14] nötig wäre), mathematisch: Vektor aus Wahrheitswerten statt Zahlen (sehr sicher) (Das ist wohl die best gewählteste Beschreibung als Mathe-Objekt für Schönheit.) (Schönheit ist sowohl ein Galaxiebegriff, als auch ein Universumbegriff. Das ist hier wohl einmalig so.), Verallgemeinerung, die durch Wahrheit, bzw. Logik verifiziert wurde, das sind in der Informatik die meisten Generierungen von irgendetwas, z.B. Fraktale. Das entspricht Schönheit selbst.;;;;;;;;;;das Hässliche (neutrale Gegen-Transzendentalie);;;spüren, empfinden (Wahrnehmen [10] mit Fühlen [7]), englisch: „to sense“;
7|9;;;;;"mathematisch: Vektoren aus Einheiten ohne Zahlen (also Winkel, statt Vektoren), wie z.B. in der Physik; Idealismus (halb sicher) (ist ggf. Paradigma statt Meta-Paradigma und besteht wohl auch aus weiteren menschlichen Typen n) ;wahrscheinlich falsch: Naivität, Konstruktivität, Unbescholtenheit";;;;;;;;;;;;;für etwas schwärmen oder begeistert sein (wenn es positiv ist, was hier immer gemeint ist): Motivation aus Gefühl (7) und Lust (9), aber nicht aus Trieb (6) und nicht aus Impuls (5);
7|12;;;;;Die Präzendenz der Richtungen, d.h. die Reihenfolge der Richtungen, z.B. um aus einem Labyrinth heraus-zu-gelangen;;;;;;;;;;;;;"das Ergehen und Befinden; Intuition (7 mit 12) [Orientierung (12) durch Gefühle (7), Gefühle (7) über die Orientierung (12)]";das Ergehen und Befinden
7|6;;;;;das Wohl, mathematisch der Vektor (beides 100% sicher) und die mathematische Matrix (größtenteils sicher);;;;;;;;;;das Übel (Dagegen-Gegentranszendentalie);;;Wohlbefindens-Arten;das Wohlbefinden, wie wohl man sich fühlt
7|5;;;;;"der Kreis (halb sicher);die Grundsätzliche Ausrichtung (nur linke Politik oder nur rechte Politik oder nur libertäre Politik); solche „ganze Richtungen“ wie z.B. Fachgebiete, Denkrichtungen, Agendas, Hauptstrategierichtungen eines Landes (größtenteils sicher); Assent (Englisch, philosophisches Wort): Zulassung, Akzeptanz (unsicher)";5. das Gute für sich wollen (Selbstsucht), 7. das Gute geben wollen (Selbstlosigkeit) ;;;;;;;;;;;;"nicht bloß Impulse besitzen, sondern impulsiv sein (in dem Wort versteckt sich das Emotionale), ggf. (nicht unbedingt negativ) launisch sein; nicht unbedingt seelisch instabil sein, jedoch assoziiert man dies gedanklich damit";
7|8;;;;;"Die Perspektive (größtenteils sicher) – noch mit  1/6 die Frage nach Klarheit also Verzerrung, etc. bei der Perspektive; Angewinkelter drehbarer mathematischer Raum, wie ein Würfel der beliebig gedreht und verwinkelt werden kann, und ein mathematischer Raum, der Winkel enthalten kann; Realität (als menschliches), aber nicht unbedingt Wirklichkeit (halb sicher), die Direktive, die Weisung (halb sicher)";;;;;;;;;;;;;;
